id,name
res_partner_163_bcf78c54,1stBooks Library
res_partner_1404_3c40277b,A'Lelia Bundles
res_partner_1071_22544956,A. C. Crispin
res_partner_692_9a037945,A. C. Gordon
res_partner_1759_32c1dbd3,A. J. Wood
res_partner_500_3c7e700c,A. Manette Ansay
res_partner_421_426859c0,A. S. Byatt
res_partner_1070_08796190,A.C. Crispin
res_partner_435_e1d5c85e,A.S. BYATT
res_partner_701_608db59a,AD HUDLER
res_partner_1203_53032336,AGATHA CHRISTIE
res_partner_383_2a0cf2c7,ALEXANDER MCCALL SMITH
res_partner_1658_1c2f0662,ALEXANDRE DUMAS
res_partner_1030_42dfe008,ALLAN ZOLA KRONZEK
res_partner_2050_c66c811b,ANDREA DI ROBILANT
res_partner_360_632219f4,ANN BRASHARES
res_partner_683_ed38f92e,ANNA QUINDLEN
res_partner_1495_1568af8e,ANNE FRANK
res_partner_1553_bcc0c815,ANNE MCCAFFREY
res_partner_816_0beb8b50,ANNE RICE
res_partner_1838_93285897,ANNE TYLER
res_partner_100_ea96a797,ARTHUR PHILLIPS
res_partner_1592_a24f3067,ARTURO PEREZ-REVERTE
res_partner_1014_0a0a6f6d,Abacus
res_partner_520_e1b3d7e8,Access Press (HarperCollins)
res_partner_173_142731a3,Ace Books
res_partner_2002_04f82e1c,Adam Brate
res_partner_1262_dd7a13ff,Adam Davies
res_partner_64_8edc918c,Adam Lebor
res_partner_1198_f1a18754,Adams Media Corp
res_partner_1677_a49d8c92, Address Withheld (Red Dress Ink (Paperback))
res_partner_768_284da3b3,Adele Lang
res_partner_687_f68aed78,Adeline Yen Mah
res_partner_1965_7eb29dde,Adrian Mitchell
res_partner_1448_474c4892,Adrian Plass
res_partner_1824_e4f7c675,Adriana Trigiani
res_partner_1761_bc1ec407,Advance Publishers LLC
res_partner_1972_001f2a09,Agatha Christie
res_partner_1050_c132105e,Akashic Books
res_partner_744_85d22539,Akiba Rubinstein
res_partner_391_07902e4d,Al Franken
res_partner_91_752e5d32,Aladdin
res_partner_1131_84d783af,Alain Stella
res_partner_1259_f234943a,Alain de Botton
res_partner_937_6aea34cc,Alain-Fournier
res_partner_1041_3cdc88e4,Alan Alexander Milne
res_partner_2048_642face4,Alan Cumming
res_partner_2051_15622610,Alan Epstein
res_partner_445_95aa234e,Alan Moore
res_partner_1036_dc088e32,Alan Spence
res_partner_1756_94de318d,Albert Camus
res_partner_863_0be99964,Albert Whitman &amp
res_partner_1747_43e6b65e,Aldous Huxley
res_partner_155_008448e5,Aleksandr Zinoviev
res_partner_1858_bde0760c,Alessandro Baricco
res_partner_1576_df2b6c25,Alexander McCall Smith
res_partner_942_4255db0d,Alexandra David-NÃƒ?Ã‚Â©el
res_partner_2033_562c551d,"Alfaguara Ediciones, S.A. (Spain)"
res_partner_760_8031d71c,Alfie Kohn
res_partner_108_900a5205,Alfred A. Knopf
res_partner_1293_58889d7c,Alfred H. Kelly
res_partner_1845_e4342a70,Alfred McBride
res_partner_271_4bd70ae6,Alianza
res_partner_1859_96004542,Alice Adams
res_partner_2085_9e691647,Alice Garrard
res_partner_883_f9c633b4,Alice Hoffman
res_partner_1188_209b3f20,Alice McDermott
res_partner_590_854fbabe,Alice Sebold
res_partner_1301_ba4fd063,Alice Walker
res_partner_917_c29a8712,Alisa Kwitney
res_partner_1836_76be6dae,Allen Ginsberg
res_partner_802_c48439f5,Allen Widome
res_partner_447_e10aaca7,Alpha Books
res_partner_1054_e75eff6a,Alyson Books
res_partner_1059_d1528f00,Alyson Publications
res_partner_1944_fadc272e,Amanda McKay
res_partner_1400_2aeb7008,Amanda Scott
res_partner_610_9c74f5c0,Amber-Allen Publishing
res_partner_1143_705dd5e2,Amereon Limited
res_partner_2045_0ffc2859,Amy Ephron
res_partner_1828_d240e103,Amy Hassinger
res_partner_52_a74a6fba,Amy Tan
res_partner_509_c89f5c01,Anagrama
res_partner_1881_b0a990cb,Anatoli Boukreev
res_partner_259_acc62ce7,Anchor
res_partner_1807_8741bde5,Anchor Books/Doubleday
res_partner_1152_7ff45165,Anchor Pub
res_partner_898_e02b13b5, And With a New Introduction by Mike Parker
res_partner_507_811edbc4,Andrea Kane
res_partner_1156_afe6b14c,Andrei Codrescu
res_partner_1126_6fcad4dc,Andrew Clements
res_partner_1098_709b69dc,Andrew L. Johnson
res_partner_1839_7f929799,Andrew M. Greeley
res_partner_2042_142fcc1f,Andrew Pyper
res_partner_180_77f52431,Andrew Scott Publishers
res_partner_702_ba5813cb,Andrews McMeel Publishing
res_partner_2058_0a5b2950,Andy Meisler
res_partner_1029_6a5124d1,Andy Sloss
res_partner_810_e02fb2a9,Angela Elwell Hunt
res_partner_1973_45a1f425,Anita Brookner
res_partner_1977_f0965e89,Anita Daher
res_partner_722_c151974b,Anita Diamant
res_partner_234_33a4cb4a,Anita Shreve
res_partner_1823_f19996b1,Ann B. Ross
res_partner_60_776d1fee,Ann Beattie
res_partner_2017_75da833d,Ann Douglas
res_partner_2098_b65852ef,Ann M. Martin
res_partner_524_583a7bd2,Ann Patchett
res_partner_1581_b08dd591,Ann Rae Jonas
res_partner_1719_ea15a3c4,Ann Rinaldi
res_partner_235_b4589d70,Ann Rule
res_partner_1282_a53ea814,Ann-Marie MacDonald
res_partner_177_04c7b37e,Anna Sewell
res_partner_1176_dba01efd,Anne Dingus
res_partner_503_404c09af,Anne Frank
res_partner_269_3ef6ba59,Anne Frasier
res_partner_1543_ee9915ab,Anne Lamott
res_partner_649_973e5ebc,Anne McCaffrey
res_partner_1407_795ff27f,Anne Morrow Lindbergh
res_partner_382_89bf3b6c,Anne Perry
res_partner_817_97a1d298,Anne Rice
res_partner_122_512af3ac,Anne Rivers Siddons
res_partner_156_bb0b3160,Anne Tyler
res_partner_1426_8eee7e09,Annegrit Arens
res_partner_1505_5d3ae94e,Annette Broadrick
res_partner_1261_c656ac79,Annie Proulx
res_partner_1777_790a01b7,Anonimo
res_partner_1163_823b3e74,Anthony J Alessandra
res_partner_732_7da65c8e,Anthony Trollope
res_partner_567_118e2b4f,Antoine de Saint-ExupÃƒÂ©ry
res_partner_627_6320e2ab,Antoni Serra
res_partner_1357_22b3dc4f,Antonio Albanese
res_partner_840_dbae753a,Apple Signature (Scholastic)
res_partner_326_73bc9aef,Arabella Weir
res_partner_516_9f9f8f45,Arcade Publishing
res_partner_263_1626dccc,Arcadia Books
res_partner_630_98d8ee96,Area
res_partner_1344_7e4dcf90,Ariella Papa
res_partner_1813_d98d8c84,Arlene Eisenberg
res_partner_1994_c76e967b,Arman Danesh
res_partner_821_658760a8,Armistead Maupin
res_partner_1196_cc2e1197,Arnette Lamb
res_partner_1465_b41e71db,Arnold A. Lazarus
res_partner_1378_c9f57e38,Arthur C. Clarke
res_partner_350_b219e820,Arthur Golden
res_partner_541_ca7a2187,Arthur William Upfield
res_partner_608_94791073,Artisan Publishers
res_partner_346_290c9444,Arundhati Roy
res_partner_87_99f24b7c, Ashley Olsen
res_partner_88_bf909248, Ashley Switching Goals (Mary-Kate and Ashley Starring in)
res_partner_1350_dfd3058c,Atheneum
res_partner_182_355a2daa,Atlantic Monthly Press
res_partner_974_c59e3474,Atria
res_partner_780_8f74465f,Atria Books
res_partner_1779_44108ad7,Audio Renaissance
res_partner_55_cf083eb1,Audioworks
res_partner_929_2d468027,Audrey Niffenegger
res_partner_961_c73221c4,Aufbau Taschenbuch Verlag
res_partner_1366_224493ca,Aufbau Tb
res_partner_1397_1dd3dc72,August Wilson
res_partner_1906_28cb58db,Augusten Burroughs
res_partner_1941_0f6e3d9b,Authors Choice Press
res_partner_1280_ddacace1,AuthorsOmniscient Publishers
res_partner_115_120e5c1c,Avon
res_partner_142_90677d36,Avon Books
res_partner_165_05dcdcfd,Avon Trade
res_partner_1561_b6fd4408,Award Publications
res_partner_1655_3d889141,Ayn Rand
res_partner_1298_b105e6e1,B Kliban
res_partner_1620_89c8cf02,B. K. S. Iyengar
res_partner_1825_1fc19678,BEBE MOORE CAMPBELL
res_partner_1910_2861efd6,BELVA PLAIN
res_partner_1440_207b46d9,BJ James
res_partner_204_e16b9d7e,Back Bay Books
res_partner_1586_b7e76877,Baen
res_partner_551_2668f19a,Baker Book House
res_partner_1356_cb7208bc,Baldini&amp
res_partner_95_d09825bf,Ballantine Books
res_partner_1580_7ab72864,Banana Yoshimoto
res_partner_117_11f3c834,Bantam
res_partner_123_7cfa7dcf,Bantam Books
res_partner_1266_1ed79500,Bantam Classics
res_partner_355_4c50069b,Bantam Dell Pub Group
res_partner_653_5b0c9e97,Bantam Dell Publishing Group
res_partner_194_b9e5778b,Bantam Doubleday Dell
res_partner_1481_62e591a2,Barbara Ann Kipfer
res_partner_1827_86aac9e1,Barbara Corcoran
res_partner_538_50b50251,Barbara Delinsky
res_partner_1734_f11e4be4,Barbara Dolan
res_partner_689_8e0ddf1f,Barbara Ehrenreich
res_partner_1425_a767f68b,Barbara Erskine
res_partner_114_29338ef6,Barbara Kingsolver
res_partner_252_c2757c84,Barbara Metzger
res_partner_1241_2fd4d125,Barbara Michaels
res_partner_828_5f6ac00e,Barbara Taylor Bradford
res_partner_286_16758526,Barbara Vine
res_partner_1533_283a8c1a,Bari Wood
res_partner_1302_b47bcd78,Barnes Noble Books
res_partner_1034_ceecc832, Barnum's digest 
res_partner_1765_eb42f24d,Barron's Educational Series
res_partner_505_1bd82263,Barry Lopez
res_partner_558_91489838,Barry Neil Kaufman
res_partner_1692_822af647,Basic Books
res_partner_920_88599766,Beacon Press
res_partner_1739_00158edc,Beatrice Sparks
res_partner_1885_4ba55fde,Beaver's Pond Press
res_partner_1837_7c2fb68d,Bedford Books
res_partner_1414_fe17e06b,Belle Yang
res_partner_1457_cf813df4,Beltz
res_partner_356_62ff3708,Belva Plain
res_partner_1797_1ddf9be3,Ben Elton
res_partner_245_806196c5,Ben Mezrich
res_partner_168_b68660da,Benjamin Hoff
res_partner_1479_78e50d7c,Berke Breathed
res_partner_1381_70244dd9,Berkley Pub Group
res_partner_53_51d4fd78,Berkley Publishing Group
res_partner_406_bbb4e6be,Bernard Cornwell
res_partner_578_78ddb380,Bernard King
res_partner_1027_4baf3577,Bernard Werber
res_partner_969_6490bd4f,Bernhard Schlink
res_partner_343_9d00a909,"Bertelsmann, MÃƒ?Ã‚Â¼nchen"
res_partner_1735_9dd3fed7,Bet Books
res_partner_880_d70ff5e6,Betsy Byars
res_partner_1732_075cbddc,Betty Neels
res_partner_292_5bf16340,Betty Smith
res_partner_839_32d0a443,Beverly Cleary
res_partner_1226_7933b14a,Beverly Hastings
res_partner_1974_e72bd061,Beverly Jenkins
res_partner_609_8a1e422e,Bill Bradley
res_partner_1396_d62691ff,Bill Brittain
res_partner_1551_b269969a,Bill Bryson
res_partner_1960_9515815c,Bill Cosby
res_partner_247_d94dd160,Bill Hand
res_partner_1849_60f7eaef,Bill Watterson
res_partner_918_24817280,Billie Letts
res_partner_766_cf7b53a3,Billie Livingston
res_partner_1470_86b194e3,Biting Dog Publications
res_partner_1953_fbe2b189,Black Classic Press
res_partner_2018_69df113a,Black Dog &amp
res_partner_1271_5dc44178,Black Sparrow Books
res_partner_1235_5ec7d658,Blanche Fisher Wright
res_partner_893_f1b7cb97,Bliss Broyard
res_partner_1005_26c26b11,Bloomsbury Pub Ltd
res_partner_1042_e30c5221,Bloomsbury Publishing PLC
res_partner_1629_125f5b3e,Bob Jones Univ Pr
res_partner_2003_541b6374,Bob Levis
res_partner_1330_613da137,Bob Shacochis
res_partner_560_34a60dc5,Bob Sjogren
res_partner_528_0968a9d5,Bob Thiele
res_partner_789_42babd21,Bobbie Ann Mason
res_partner_850_9a2baed0,Bobbie Kalman
res_partner_1572_863454d9,Bodie Thoene
res_partner_1002_bc858dc3,Boris Vian
res_partner_788_7a6ea066,Bradley Warshauer
res_partner_451_2aab5595,Brady Udall
res_partner_1144_ac21a963,Bram Stoker
res_partner_1544_5e4e1681,Bret Lott
res_partner_1782_e74dffde,Brian Herbert
res_partner_477_6c28ed11,Brian Kaufman
res_partner_1605_6f26c36e,Brian O'Leary
res_partner_1608_a1381702,Bridge Publications
res_partner_1868_21b177d4,Bridge Pubns
res_partner_71_cde626f3,Brilliance Audio - Trade
res_partner_1445_61aeea33,British Film Institute
res_partner_1852_1a791f5e,Broadman &amp
res_partner_870_8114a7e6,Broadway
res_partner_547_8af4340f,Broadway Books
res_partner_1028_6807139a,Brockhampton Press
res_partner_1822_eca13c2d,Brooke Stevens
res_partner_1499_0175ddbc,Bruce Catton
res_partner_1588_a3498016,Bruce Coville
res_partner_1172_7efead7a,Bruce Fries
res_partner_881_1219c36b,Bruce Sterling
res_partner_1279_d6a5b28d,Bruce Wilkinson
res_partner_1513_7e9ba520,Bryn Chandler
res_partner_1893_97bc6669,Btb Bei Goldmann
res_partner_1394_0004d3af,Bull Publishing Company
res_partner_1955_fef6f270,Burton Raffel
res_partner_1255_b3d519de,Buy Books on the web.com
res_partner_1783_9bd8fbbb,C. A. Stephens
res_partner_944_14513967,C. Baudelaire
res_partner_1033_b4964db1,C. Borgois
res_partner_811_611fafff,C. S. Lewis
res_partner_98_b710949e,C.S. Lewis
res_partner_1643_33ee4361,CALVIN TRILLIN
res_partner_1246_4aa8182d,CARL HIAASEN
res_partner_856_4d62bdf0,CHARLES FRAZIER
res_partner_2007_18297f5b,CHERIE CARTER-SCOTT
res_partner_1930_b5a6850d,CHRIS BOHJALIAN
res_partner_1469_9082fe35,CHUCK PALAHNIUK
res_partner_1353_1de75955,CLARE NAYLOR
res_partner_1904_bf562421,Caleb Carr
res_partner_1140_f4ecb86d,Cambridge University Press
res_partner_1488_1308f5c6,Camille Paglia
res_partner_798_509dfa33,Candace Bushnell
res_partner_665_c4848648,Candice F. Ransom
res_partner_1345_a79d691d,Candlewick Press (MA)
res_partner_1035_2e356ae4,Canongate Books Ltd
res_partner_1945_b7981b72,Carl Djerassi
res_partner_1183_5fa4b3b7,Carl Hausman
res_partner_775_eab3cb57,Carl Hiaasen
res_partner_154_5c44cd8c,Carl Sagan
res_partner_46_001dea81,Carlo D'Este
res_partner_636_1e6f9479,Carmen Rico-Godoy
res_partner_1056_7a03b8df,Carol Anshaw
res_partner_1647_bd439768,Carol Emshwiller
res_partner_2041_3ba37ea9,Carol Higgins Clark
res_partner_353_a594b754,Carol J. Farley
res_partner_1150_c756f6b9,Carol Matthews
res_partner_1115_cc12e5ae,Carol Ryrie Brink
res_partner_1415_fa7d8aa6,Carol Shields
res_partner_1438_d07d8b7d,Carole Halston
res_partner_1151_0ab3015d,Carole Matthews
res_partner_1248_1a449609,Carole Nelson Douglas
res_partner_1120_7fb2327d,Carolee Brockmann
res_partner_1076_91539147,Carolyn Chute
res_partner_1508_14aed665,Carolyn Keene
res_partner_1369_c306981f,Carolyn See
res_partner_1768_7555635d,Carolyn Wheat
res_partner_1158_dbad6a40,Carolyne Aarsen
res_partner_1683_b8a44b63,Carrie Alexander
res_partner_661_6974602f,Carrie Bebris
res_partner_570_17395eb1,Castle Books
res_partner_1901_9e54cb9f,Catherine Clement
res_partner_770_f426328e,Catherine Coulter
res_partner_1843_4657b2b2,Catholic Church
res_partner_1673_c8a674fa,Cathy Cash Spellman
res_partner_1222_fa2f046c,Cathy Gillen Thacker
res_partner_1037_dfb6b5bf,Celestial Arts
res_partner_84_5e2acea4,Celia Brooks Brown
res_partner_931_4becbed1,Chaim Potok
res_partner_140_5620abad,Chambers Harrap Publishers Ltd
res_partner_1272_f394af89,Charles Bukowski
res_partner_430_a5e6a3fd,Charles Dickens
res_partner_242_664595b5,Charles Hickey
res_partner_1031_8b234c37,Charles L. Squire
res_partner_164_64bbcabc,Charles Noland
res_partner_1165_97a3d062,Charles R. Swindoll
res_partner_2065_479d83bf,Charles Sheffield
res_partner_1313_494c33fc,Charles Sullivan
res_partner_895_d4dcafb9,Charles Webb
res_partner_408_f843c7ad,Charles de Lint
res_partner_106_6a48dbe6,Charlotte Link
res_partner_1294_6821ad44,Chatto &amp
res_partner_954_46309e62,Cheryl Benard
res_partner_583_37d9f6ea,Cheryl St. John
res_partner_877_1a2be163,Childrens Press
res_partner_1049_634b5e4f,Chris Anne Wolfe
res_partner_1602_6f279438,Chris Wooding
res_partner_956_c8ace089,Christa Wichterich
res_partner_1371_1474acad,Christa Wolf
res_partner_1934_d4b88fd4,Christian Jacq
res_partner_1925_a8d7ec0b,Christina Lamb
res_partner_960_c4b5bec9,Christine Obbo
res_partner_1439_c8966d31,Christine Rimmer
res_partner_1367_7786d321,Christoph Hein
res_partner_1403_2cf5bedc,Christopher Catling
res_partner_855_217a3414,Christopher Finch
res_partner_708_62d39efd,Christopher Moore
res_partner_544_300923a2,Christopher Rice
res_partner_2049_539ccece,Christopher Russo
res_partner_1375_9939a818,Christopher Weidner
res_partner_1793_61476cab,Chronicle Books Llc
res_partner_2004_d10b70f9,Chrysalis Books
res_partner_146_bc17436a,Chuck Hill
res_partner_2094_fc935064,Chuck Logan
res_partner_1260_5a7a5738,Chuck Palahniuk
res_partner_63_9d030c77,Citadel Press
res_partner_1835_fda4624e,City Lights Publishers
res_partner_1466_7d5b7b4d,Clarissa Pinkola Estes
res_partner_1712_ad08c9cc,Clarkson N Potter Publishers
res_partner_999_10a53d7c,Claude Lanzmann
res_partner_1462_498aa211,Claudia Keller
res_partner_1429_9b547e58,Claudia von Zglinicki
res_partner_1240_ae237839, Clay
res_partner_1501_b811e02b,Clement Eaton
res_partner_1336_b745b3b8,Clifford Stoll
res_partner_772_300d60f7,Clive Cussler
res_partner_2093_5785c07a,Clive James
res_partner_832_db903692,Cokie Roberts
res_partner_1671_ce2deaee,Colleccion Millenium
res_partner_951_2fead83a,Collectif
res_partner_529_ae6d54a6,Colleen McCullough
res_partner_1902_e789ad4f,Colm Toibin
res_partner_1715_3a819994,Columbia University Press
res_partner_492_6c93db21,Columna
res_partner_1776_2528622b,Continental Book Company
res_partner_1855_196cd6aa,Corinne T. Netzer
res_partner_992_3be390af,Cormac McCarthy
res_partner_1485_31927d58,Cornelia Funke
res_partner_662_03bfd3e3,Cornell University Press
res_partner_1571_bca4eabc,Corrie Ten Boom
res_partner_2010_86d1fbcf,Courtland L. Bovee
res_partner_740_ab29e234,Cowley Publications
res_partner_849_f34e8478,Crabtree Publishing Company
res_partner_847_fcccea05,Craig Boldman
res_partner_1927_5ce42f1e,Crichton Michael
res_partner_1066_f419eaf7,Crimeline
res_partner_971_54aae31e,Crown
res_partner_574_d3ce5b52, Cunningham
res_partner_293_b3a6e976,Cybill Shepherd
res_partner_85_388a4b49,Cypress House
res_partner_1228_69f2609d,Cyrano de Bergerac
res_partner_739_de4a72b3,Czeslaw Milosz
res_partner_1770_ff2b9b70,DAN SIMMONS
res_partner_249_39a0f487,DANA REEVE
res_partner_1195_b36c130a,DANIELLE STEEL
res_partner_481_2e7b3598,DAVID EDDINGS
res_partner_193_372b0f71,DAVID FRUM
res_partner_1270_8eaeb9e8,DAVID MITCHELL
res_partner_873_fede3a3b,DAVID SCHICKLER
res_partner_444_0840f0b2,DC Comics
res_partner_685_57de591a,DEAN KOONTZ
res_partner_1324_6fa8101b,DIANA GABALDON
res_partner_796_01b79656,DIANE MOTT DAVIDSON
res_partner_392_ca27f38b,DONNA TARTT
res_partner_690_b916e278,DOROTHY DUNNETT
res_partner_1289_7dd0cf1f,DR SEUSS
res_partner_1335_e3bf20d3,Dale Carnegie
res_partner_1898_d12333eb,Dale Cooper
res_partner_1886_2cff6a36,Dale L. Anderson
res_partner_230_2584aae7,Dan Brown
res_partner_1598_044b3fcd,Dan Millman
res_partner_190_e0b4c8e5,Dan Quayle
res_partner_1975_bfc6b4bc,Daniel Hecht
res_partner_782_df407215,Danielle Steel
res_partner_275_51f0ffbf,Daphne Du Maurier
res_partner_1022_2ba107f3,Dargaud
res_partner_446_6fea8675,Dark Horse Comics
res_partner_1443_766f5b86,Darrell Scott
res_partner_2091_349496ef,Dav Pilkey
res_partner_485_7f5bfcac,Dave Barry
res_partner_1723_61b7aa27,Dave Duncan
res_partner_1691_c7c1c829,Dave Eggers
res_partner_62_76f29648,David Adams Richards
res_partner_575_d800324c,David Allen Hulse
res_partner_295_0fabb291,David Baldacci
res_partner_461_38a89a98,David Brin
res_partner_58_9173231d,David Cordingly
res_partner_1017_c5ac3cc5,David Crombie
res_partner_1909_f3fb97e7,David Eddings
res_partner_888_fa591ab3,David Feldman
res_partner_2090_44c34010,David Foster Wallace
res_partner_2012_85c39980,David Freemantle
res_partner_484_9fedf0cf,David G. Hartwell
res_partner_1819_97807a55,David Gardner
res_partner_650_644a6ad2,David Gemmell
res_partner_968_6f2891d3,David Guterson
res_partner_148_2df37a14,David Iglehart
res_partner_764_39c6eba4,David Lewis
res_partner_1009_1a20388f,David Lodge
res_partner_1364_c49f57b9,David M. Gitlitz
res_partner_225_28cb0c2d,David Morrell
res_partner_1045_74a52855,David Sedaris
res_partner_758_411a9138,David Steinman
res_partner_901_c5396e35,David Whyte
res_partner_1546_e9f3d9d5,Daw Books
res_partner_1348_7869a513,Dawn Chipman
res_partner_1936_e6d6eca5,Dean Devlin
res_partner_127_99ef64ca,Dean Koontz
res_partner_1937_5d4fb5bc,Dean Marney
res_partner_124_77bab5c6,Dean R. Koontz
res_partner_1686_9beaa9c5,Deborah Laake
res_partner_1061_6c9cdec7,Deborah McDowell
res_partner_1685_5870a00a,Debra Salonen
res_partner_161_8b85aca2,Deepak Chopra
res_partner_480_9a76b94f,Del Rey
res_partner_311_fe6fb4a3,Del Rey Books
res_partner_1094_0d022b85,Del Sol Press
res_partner_359_c5873f78,Delacorte Books for Young Readers
res_partner_496_3a04eb88,Delacorte Press
res_partner_77_b36bb76e,Dell
res_partner_453_7711f0c5,Dell Publishing Company
res_partner_1209_441145e8,Della Rowland
res_partner_279_b865d932,Delta
res_partner_393_cd41e2fa,Delta Systems
res_partner_231_4ebb3bf3, Demons
res_partner_377_62ad35a8, Demons
res_partner_1435_191cbf6c,Dennis L. McKiernan
res_partner_1817_c64b2ebd,Dennis Rainey
res_partner_1744_9f1091ff,DenoÃƒ?Ã‚Â«l
res_partner_905_fa97ffad,Desmond Mpilo Tutu
res_partner_614_bd067918,Destino
res_partner_1370_58cac705,Deutscher Taschenbuch Verlag
res_partner_323_3d75ddcc,Deutscher Taschenbuch Verlag (DTV)
res_partner_651_e2601e3b,Dial Books
res_partner_1236_614e2971,Diamond Books (NY)
res_partner_1949_cf4d7fed,Diamond Communications
res_partner_1830_c3c551ff,Diana Palmer
res_partner_1664_adca327c,Diane Ackerman
res_partner_1118_23e21ad5,Diane Duane
res_partner_684_8541cf59,Diane Johnson
res_partner_1626_4998f60b,Diane Muldrow
res_partner_2084_98be3de2,Diane Wolkstein
res_partner_1746_4de09c7c,Dick
res_partner_534_e55c89e2,Dick Francis
res_partner_845_d4bca4ee,Dinah L. Moche
res_partner_317_ffd4bc64,Diogenes
res_partner_319_edc36131,Diogenes Verlag
res_partner_1423_bc68ebc9,"Diogenes Verlag, ZÃƒ?Ã‚Â¼rich"
res_partner_1762_18ff0924,Disney Enterprises Inc
res_partner_200_25510367,Distribooks
res_partner_321_2acfdcc7,Distribooks Inc
res_partner_1861_26563541,Distribooks Int'l+inc
res_partner_1548_34556abc,Distributors
res_partner_1864_45b5e6e5, Dixon
res_partner_1809_2438b3a4,Dodie Smith
res_partner_586_734bcfb0,Dog Mary Crow
res_partner_120_9fbd329d,Dolores Krieger
res_partner_771_c9302c57,Dominick Dunne
res_partner_1305_9d86094f,Don DeLillo
res_partner_1957_93cdf974,Don Lassiter
res_partner_611_d3751b64,Don Miguel Ruiz
res_partner_1966_a65235d7,Donald A. Davis
res_partner_1875_2a851946,Donald A. Mackenzie
